"Million Plus Cities","Cause category","Outcome of Incident",Count
Jabalpur,"Traffic Control","Total number of Accidents",0
Jabalpur,"Traffic Control","Total number of Accidents",1548
Jabalpur,"Traffic Control","Total number of Accidents",1678
Jabalpur,Junction,"Total number of Accidents",232
Jabalpur,Junction,"Total number of Accidents",1548
Jabalpur,Junction,"Total number of Accidents",18
Jabalpur,Junction,"Total number of Accidents",216
Jabalpur,Junction,"Total number of Accidents",933
Jabalpur,Junction,"Total number of Accidents",279
Jabalpur,"Traffic Violation","Total number of Accidents",65
Jabalpur,"Traffic Violation","Total number of Accidents",170
Jabalpur,"Traffic Violation","Total number of Accidents",0
Jabalpur,"Traffic Violation","Total number of Accidents",167
Jabalpur,"Traffic Violation","Total number of Accidents",2753
Jabalpur,"Traffic Violation","Total number of Accidents",71
Jabalpur,"Road Features","Total number of Accidents",1
Jabalpur,"Road Features","Total number of Accidents",18
Jabalpur,"Road Features","Total number of Accidents",64
Jabalpur,"Road Features","Total number of Accidents",3134
Jabalpur,"Road Features","Total number of Accidents",2
Jabalpur,"Road Features","Total number of Accidents",5
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",204
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",8
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",63
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",624
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",24
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",118
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",9
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",271
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",1905
Jabalpur,Weather,"Total number of Accidents",222
Jabalpur,Weather,"Total number of Accidents",0
Jabalpur,Weather,"Total number of Accidents",694
Jabalpur,Weather,"Total number of Accidents",205
Jabalpur,Weather,"Total number of Accidents",2105
